Designator,Mid X,Mid Y,Rotation,Layer
_5,181.0,-87.5,0.0,top
_4,168.53,-86.49,0.0,top
_3,116.0,-122.5,0.0,top
_2,116.0,-87.5,0.0,top
,181.0,-122.5,0.0,top
C10,153.06,-96.76,0.0,top
C11,141.5,-98.3,180.0,top
C12,132.31,-92.34,90.0,top
C13,120.31,-92.34,90.0,top
C14,126.31,-87.71,90.0,top
C15,138.31,-87.71,90.0,top
C16,135.55,-102.8,90.0,top
C17,177.495,-91.475,270.0,top
C18,179.84,-97.63,90.0,top
C19,174.475,-96.9,0.0,top
C2,143.1,-88.85,90.0,top
C20,120.09,-119.53,0.0,top
C21,174.8,-105.91,180.0,top
C22,134.23,-98.775,90.0,top
C23,141.11,-91.91,0.0,top
C24,143.54,-116.9,90.0,top
C25,146.46,-116.9,90.0,top
C26,140.475,-101.65,270.0,top
C27,183.5,-107.43,270.0,top
C28,182.6875,-102.95,180.0,top
C29,136.275,-98.775,270.0,top
C30,138.325,-98.775,90.0,top
C6,141.3,-112.025,90.0,top
C7,144.52,-119.64,0.0,top
C8,149.5,-113.52,0.0,top
C9,159.182477,-108.130243,315.0,top
D3,175.1325,-103.12,0.0,top
J1,148.5,-84.6625,180.0,top
J2,158.37,-89.475,270.0,top
J3,168.53,-96.52,90.0,top
J5,174.22,-115.23,0.0,top
J6,181.27,-115.23,0.0,top
L1,174.475,-86.85,0.0,top
L4,137.95,-102.55,270.0,top
LED1,109.31,-127.57,270.0,top
LED10,109.31,-87.07,270.0,top
LED11,110.9175,-80.8,180.0,top
LED12,115.4175,-80.8,180.0,top
LED13,119.9175,-80.8,180.0,top
LED14,124.4175,-80.8,180.0,top
LED15,128.9175,-80.8,180.0,top
LED16,133.4175,-80.8,180.0,top
LED17,137.9175,-80.8,180.0,top
LED18,159.0975,-80.8,180.0,top
LED19,163.5975,-80.8,180.0,top
LED2,109.31,-123.07,270.0,top
LED20,168.0975,-80.8,180.0,top
LED21,172.5975,-80.8,180.0,top
LED22,177.0975,-80.8,180.0,top
LED23,181.5975,-80.8,180.0,top
LED24,186.0975,-80.8,180.0,top
LED25,187.69,-87.07,90.0,top
LED26,187.69,-91.57,90.0,top
LED27,187.69,-96.07,90.0,top
LED28,187.69,-100.57,90.0,top
LED29,187.69,-105.07,90.0,top
LED3,109.31,-118.57,270.0,top
LED30,187.69,-109.57,90.0,top
LED31,187.69,-114.07,90.0,top
LED32,187.69,-118.57,90.0,top
LED33,187.69,-123.07,90.0,top
LED34,187.69,-127.57,90.0,top
LED4,109.31,-114.07,270.0,top
LED5,109.31,-109.57,270.0,top
LED6,109.31,-105.07,270.0,top
LED7,109.31,-100.57,270.0,top
LED8,109.31,-96.07,270.0,top
LED9,109.31,-91.57,270.0,top
R1,144.555,-91.58,0.0,top
R10,156.0,-119.56,0.0,top
R11,173.0,-119.56,180.0,top
R13,174.475,-94.85,180.0,top
R14,142.37,-96.26,180.0,top
R15,126.34,-95.420001,180.0,top
R18,148.23,-119.62,0.0,top
R2,145.1,-88.85,270.0,top
R20,111.31,-128.2575,270.0,top
R21,111.31,-123.7575,270.0,top
R22,111.31,-119.2575,270.0,top
R23,111.31,-114.7575,270.0,top
R24,111.31,-110.2575,270.0,top
R25,111.31,-105.7575,270.0,top
R26,111.31,-101.2575,270.0,top
R27,111.31,-96.7575,270.0,top
R28,111.31,-92.2575,270.0,top
R29,111.31,-87.7575,270.0,top
R3,150.9,-89.05,270.0,top
R30,110.23,-82.8,180.0,top
R31,114.73,-82.8,180.0,top
R32,119.23,-82.8,180.0,top
R33,123.73,-82.8,180.0,top
R34,128.23,-82.8,180.0,top
R35,132.73,-82.8,180.0,top
R36,137.23,-82.8,180.0,top
R37,158.41,-82.8,180.0,top
R38,162.91,-82.8,180.0,top
R39,167.41,-82.8,180.0,top
R40,171.91,-82.8,180.0,top
R41,176.41,-82.8,180.0,top
R42,180.91,-82.8,180.0,top
R43,185.41,-82.8,180.0,top
R44,185.69,-86.3825,90.0,top
R45,185.69,-90.8825,90.0,top
R46,185.69,-95.3825,90.0,top
R47,185.69,-99.8825,90.0,top
R48,185.69,-104.3825,90.0,top
R49,185.69,-108.8825,90.0,top
R50,185.69,-113.3825,90.0,top
R51,185.69,-117.8825,90.0,top
R52,185.69,-122.3825,90.0,top
R53,185.69,-126.8825,90.0,top
R54,132.31,-85.07,180.0,top
R55,132.31,-87.23,0.0,top
R56,168.0,-113.5492,0.0,top
R57,114.84,-91.64,180.0,top
R58,168.0,-115.5092,180.0,top
R59,169.21,-110.84,90.0,top
R6,134.435,-121.77,270.0,top
R60,171.956,-111.09,0.0,top
R61,145.06,-94.27,270.0,top
R62,142.37,-94.3,180.0,top
R63,151.6425,-119.62,180.0,top
R64,175.77,-109.43,90.0,top
R65,153.25,-114.17,270.0,top
R66,162.36,-85.68,180.0,top
R67,163.81,-101.68,270.0,top
R68,180.7,-104.93,0.0,top
R7,132.465,-121.77,270.0,top
R8,132.465,-125.23,270.0,top
R9,134.435,-125.23,270.0,top
RESET,159.81,-97.44,180.0,top
SW1,126.0,-123.5,0.0,top
SW2,141.0,-123.5,0.0,top
SW3,156.0,-123.5,0.0,top
SW4,171.0,-123.5,0.0,top
U1,179.78,-109.23,0.0,top
U10,114.479999,-94.47,90.0,top
U11,121.12,-85.92,0.0,top
U12,168.0,-118.4992,180.0,top
U13,171.76,-108.07,0.0,top
U14,174.475,-91.475,90.0,top
U15,137.91,-94.78,0.0,top
U18,148.5,-105.0,90.0,top
U2,147.998611,-89.975,270.0,top
U4,123.5,-108.0,0.0,top
U5,138.0,-111.4,270.0,top
U6,138.52,-116.71,90.0,top
U7,149.69,-116.78,0.0,top
U8,159.075,-113.09,270.0,top
X1,145.0,-113.6,180.0,top
