Designator,Footprint,Quantity,Value,LCSC Part #
"_5, _4, _3, _2, ",,5,,
"C10, C11, C16, C17, C19, C20, C21, C28, C6, C7, C8, C9",0805,12,10uF,
"C12, C13, C14, C15",CP_Radial_D6.3mm_P2.50mm,4,C_Polarized,
C18,CP_Elec_6.3x5.7,1,220uF,
C2,0805,1,1uF,
C22,0805,1,2.2uF,
C23,0805,1,4.7uF,
"C24, C25",0805,2,10pF,C32949
"C26, C30",0805,2,1uF,C52923
C27,0805,1,100nF,
C29,0805,1,10μF,C52923
D3,D_SMA,1,US1M,
J1,USB4110-GF-A,1,USB4110GFA,
J2,PinHeader_2x05_P1.27mm_Vertical,1,Conn_ARM_JTAG_SWD_10,
J3,B7B-XH-A,1,B7B-XH-A,
"J5, J6",B2B-PH-K-S,2,B2B-PH-K-S,
L1,VLCF4020T-2R2N1R7,1,2.2uH,
L4,1008,1,10uH,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED4, LED5, LED6, LED7, LED8, LED9",OR-PL020W,34,OR-PL020W,C205440
"R1, R10, R11, R8, R9",0805,5,1M,
R13,0805,1,100k,
R14,0805,1,33kΩ,
"R15, R54, R56, R59",0805,4,470Ω,C25117
"R18, R55, R57, R58, R60, R63, R68",0805,7,10kΩ,C25744
"R2, R3",0805,2,5100Ω,
"R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53",0805,34,80Ω,
"R6, R7",0805,2,4.7K,
R61,0805,1,1MΩ,
R62,0805,1,300kΩ,
R64,1206,1,0Ω,C25117
R65,0805,1,10kΩ,
R66,0805,1,1kΩ,C11702
R67,0805,1,100KΩ,C25741
"RESET, SW1, SW2, SW3, SW4",TS-1187A-B-A-B,5,TS-1187A-B-A-B,C318884
U1,TPA2016D2,1,TPA2016D2RTJR,TPA2016D2RTJR
"U10, U11, U12, U13",IRLML6344,4,IRLML6344TRPBF,C53550
U14,LM3671MFX-3.3,1,LM3671MFX-3.3/NOPB,
U15,LTC3226,1,LTC3226EUD-PBF,
U18,ATSAMD51J19_TQFP,1,ATSAMD51J19A-AUT,
U2,PRTR5V0U2X,1,PRTR5V0U2X_C2827688,C2827688
U4,L86-M33,1,L86-M33,
U5,RV-3028-C7,1,RV-3028-C7,C3019759
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,24LC512,
U7,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,LIS3DH,C15134
U8,SOP-8_3.9x4.9mm_P1.27mm,1,MX25L3233FM1,
X1,Q13FC13500005,1,32.768,C841881
